"title","image_path","is_broken"
"Farmer Market Pickled CruditÃ© Platter","",TRUE
"Roasted Summer Berry PiÃ±ata Ice Cream Cake","",TRUE
"Chipotle Chicken Nachos with JalapeÃ±o Yogurt","images/chipotle-chicken-nachos-with-jalape-o-yogurt.jpg",TRUE
"Crockpot Crispy Buffalo Chicken Tacos with JalapeÃ±o Ranch","images/crockpot-crispy-buffalo-chicken-tacos-with-jalape-o-ranch.jpg",TRUE
"(The Cheaters Way) Deathly Chocolate Graveyard Cakes...Witches Beware.","images/-the-cheaters-way-deathly-chocolate-graveyard-cakes-witches-beware-.jpg",TRUE
"Addicting Buttery Chocolate Covered Ritz Toffee (aka...Christmas Crack).","images/addicting-buttery-chocolate-covered-ritz-toffee-aka-christmas-crack-.jpg",TRUE
"Banana Cream Pie...with Chocolate and Peanut!","images/banana-cream-pie-with-chocolate-and-peanut-.jpg",TRUE
"BBQ Grilled Corn, JalapeÃ±o and Peach Quinoa Salad","images/bbq-grilled-corn-jalape-o-and-peach-quinoa-salad.jpg",TRUE
"BBQ Margarita Chicken Tostadas with Sweet Jalapeno Margarita Salsa.","images/bbq-margarita-chicken-tostadas-with-sweet-jalapeno-margarita-salsa-.jpg",TRUE
"Blue Cheese Lobster Beignets with Spicy Avocado Cream + Garden Vegetable SautÃ©","images/blue-cheese-lobster-beignets-with-spicy-avocado-cream-garden-vegetable-saut-.jpg",TRUE
"Buffalo Chicken Corn Chowder with Blue Cheese GougÃ¨res","images/buffalo-chicken-corn-chowder-with-blue-cheese-goug-res.jpg",TRUE
"Buffalo Chicken Poppers.","images/buffalo-chicken-poppers-.jpg",TRUE
"Butternut Squash + Charred Brussels Mac and Cheese with Buttery Bacon Ritz Crackers.","images/butternut-squash-charred-brussels-mac-and-cheese-with-buttery-bacon-ritz-crackers-.jpg",TRUE
"Campfire Grilled S'more Calzone.","images/campfire-grilled-s-more-calzone-.jpg",TRUE
"Cheddar Cornbread Chicken Fingers with JalapeÃ±o Honey Butter.","images/cheddar-cornbread-chicken-fingers-with-jalape-o-honey-butter-.jpg",TRUE
"Cheesy Avocado Crab Stuffed Piquillo Pepper Ciabatta Pizzette's with Sriracha Aioli.","images/cheesy-avocado-crab-stuffed-piquillo-pepper-ciabatta-pizzette-s-with-sriracha-aioli-.jpg",TRUE
"Cheesy Kale and Corn SoufflÃ©.","images/cheesy-kale-and-corn-souffl-.jpg",TRUE
"Cherry and Goats Milk Coconut Mousse.","images/cherry-and-goats-milk-coconut-mousse-.jpg",TRUE
"Chipotle Pineapple Chicken Tinga Quesadilla Tostadas with Tequila Lime Pickled JalapeÃ±o's.","images/chipotle-pineapple-chicken-tinga-quesadilla-tostadas-with-tequila-lime-pickled-jalape-o-s-.jpg",TRUE
"Chocolate Bourbon Caramel Macaron Cake.","images/chocolate-bourbon-caramel-macaron-cake-.jpg",TRUE
"Chocolate âCandy Barâ Baklava with Butter Rum Sauce.","images/chocolate-candy-bar-baklava-with-butter-rum-sauce-.jpg",TRUE
"Easy Jalapeno Chicken Chili and Cheddar Polenta Pot Pies","images/easy-jalapeno-chicken-chili-and-cheddar-polenta-pot-pies.jpg",TRUE
"Fruit Roll Ups...for Back to School!","images/fruit-roll-ups-for-back-to-school-.jpg",TRUE
"Fudge Browne and Chocolate Frangelico CrÃ¨me BrÃ»lÃ©e Pie","images/fudge-browne-and-chocolate-frangelico-cr-me-br-l-e-pie.jpg",TRUE
"Greek Goddess Grain Bowl with Fried Zucchini, Toasted Seeds and Fried Halloumi.","images/greek-goddess-grain-bowl-with-fried-zucchini-toasted-seeds-and-fried-halloumi-.jpg",TRUE
"Grilled Clams with Charred JalapeÃ±o Basil Butter.","images/grilled-clams-with-charred-jalape-o-basil-butter-.jpg",TRUE
"JalapeÃ±o Cornbread Biscuit Kentucky Hot Brown with Honey Bourbon Bacon.","images/jalape-o-cornbread-biscuit-kentucky-hot-brown-with-honey-bourbon-bacon-.jpg",TRUE
"Jalapeno Cheddar Cornbread Pancakes with Roasted Blueberry Honey Syrup","images/jalapeno-cheddar-cornbread-pancakes-with-roasted-blueberry-honey-syrup.jpg",TRUE
